word	category
bug	vulnerability
bugs	vulnerability
flaw	vulnerability
flaws	vulnerability
vulnerability	vulnerability
vulnerabilities	vulnerability
vulnerable	vulnerability
vuln	vulnerability
vulns	vulnerability
zero-day-exploit	exploit
malware	malware
malwares	malware
ransomware	malware
ransomwares	malware
botnet	malware
botnets	malware
trojan	malware
trojans	malware
adware	malware
adwares	malware
keylogger	malware
rootkit	malware
spyware	malware
spywares	malware
surveillanceware	malware
keyloggers	malware
ddos toolkit	malware
potentially unwanted program	malware
bootkit	malware
bootkits	malware
rootkits	malware
dos	vulnerability
denial of service	vulnerability
denial-of-service	vulnerability
ddos	ddos
distributed denial of service	ddos
distributed-denial-of-service	ddos
data breach	breach
databreach	breach
breach	breach
breaches	breach
databreach	breach
databreaches	breach
dataleak	breach
infoleak	breach
data leak	breach
info leak	breach
data breaches	breach
exploit	exploit
ek	exploit
exploit-kit	exploit
exploits	exploit
exploitkit	exploit
exploit_kit	exploit
infoleaks	breach
dataleaks	breach
data-breach	breach
information stolen	breach
password stolen	breach
keystroke logger	malware
keystroke loggers	malware
c&c	malware
c2	malware
command and control	malware
ransom	malware
exploiting	exploit
exploited	exploit
exploitkits	exploit
vul	vulnerability
0day	vulnerability
zero day	vulnerability
0-day	vulnerability
zero-day	vulnerability
vulne	vulnerability
vulnerab	vulnerability
vulnerabl	vulnerability
information leakage	breach
malspam	malware
exploitation	exploit
distributed dos	ddos
distributed denial-of-service	ddos
drdos	ddos
